	expr	job_title	location_company	name_company	salary	time	url	url_company
44	1年以上 本科或以上	测试开发工程师 	广州	中国电信上海	20-60万	1个月前	https://m.liepin.com/job/1916824867.shtml	https://m.liepin.com/company/7875571/
45	1年以上 本科或以上	安全运维工程师 	广州	中国电信上海	20-60万	1个月前	https://m.liepin.com/job/1916825085.shtml	https://m.liepin.com/company/7875571/
46	经验不限 硕士或以上	算法工程师 	广州	中国电信上海	20-60万	1个月前	https://m.liepin.com/job/1916825995.shtml	https://m.liepin.com/company/7875571/
47	1年以上 本科或以上	嵌入式驱动工程师 	广州-天河区	中金银通信息技术有限公司	13-20万	1个月前	https://m.liepin.com/job/1915777611.shtml	https://m.liepin.com/company/9551023/
48	3年以上 本科或以上	SU-嵌入式软件工程师(智能轮椅)(J11407) 	广州	CVTE	12-18万	1个月前	https://m.liepin.com/job/1917662933.shtml	https://m.liepin.com/company/7854025/
49	3年以上 本科或以上	SU-嵌入式软件工程师(智能轮椅)(J11406) 	广州	CVTE	面议	1个月前	https://m.liepin.com/job/1917662855.shtml	https://m.liepin.com/company/7854025/
50	3年以上 大专或以上	渠道销售 	广州	北京志诚泰和信息科技股份有限公司	6-12万	1个月前	https://m.liepin.com/job/1917618891.shtml	https://m.liepin.com/company/9606585/
51	5年以上 本科或以上	后端软件工程师(JavaScript) 	广州-南沙区	人工智能企业	30-52万	1个月前	https://m.liepin.com/a/13225145.shtml	
52	5年以上 本科或以上	冲压设备规划高级自动化工程师 	广州	恒大国能新能源汽车集团	24-46万	1个月前	https://m.liepin.com/job/1917373027.shtml	https://m.liepin.com/company/9699449/
53	1年以上 学历不限	深度学习工程师 - 运营中心 	广州	网易集团	面议	1个月前	https://m.liepin.com/job/1916644297.shtml	https://m.liepin.com/company/5964833/
54	经验不限 本科或以上	系统架构经理 	广州	恒大国能新能源汽车集团	面议	1个月前	https://m.liepin.com/job/1916888605.shtml	https://m.liepin.com/company/9699449/
55	经验不限 本科或以上	诊断刷新主管工程师 	广州	恒大国能新能源汽车集团	面议	1个月前	https://m.liepin.com/job/1916888059.shtml	https://m.liepin.com/company/9699449/
56	4年以上 本科或以上	产销计划副经理(J10398) 	广州	雅士利国际集团	面议	1个月前	https://m.liepin.com/job/1916563027.shtml	https://m.liepin.com/company/8923316/
57	5年以上 本科或以上	暖通工程师-设计管理 	广州	恒大国能新能源汽车集团	18-42万	1个月前	https://m.liepin.com/job/1916911101.shtml	https://m.liepin.com/company/9699449/
58	3年以上 本科或以上	Java开发工程师——智能连接部（广州） 	广州	中移物联网	面议	1个月前	https://m.liepin.com/job/1916893325.shtml	https://m.liepin.com/company/4128611/
59	5年以上 本科或以上	需求分析师——智能连接部（广州） 	广州	中移物联网	面议	1个月前	https://m.liepin.com/job/1916893155.shtml	https://m.liepin.com/company/4128611/
0	8年以上 本科或以上	开闭件主管/经理 	广州	恒大国能新能源汽车集团	面议	1个月前	https://m.liepin.com/job/1916885403.shtml	https://m.liepin.com/company/9699449/
1	8年以上 本科或以上	开闭件附件主管/经理 	广州	恒大国能新能源汽车集团	面议	1个月前	https://m.liepin.com/job/1916885361.shtml	https://m.liepin.com/company/9699449/
2	5年以上 本科或以上	内外饰集成主管 	广州	恒大国能新能源汽车集团	面议	1个月前	https://m.liepin.com/job/1916885155.shtml	https://m.liepin.com/company/9699449/
3	5年以上 本科或以上	座椅及安全约束系统主管 	广州	恒大国能新能源汽车集团	面议	1个月前	https://m.liepin.com/job/1916885101.shtml	https://m.liepin.com/company/9699449/
4	5年以上 本科或以上	后悬架系统主管工程师 	广州	恒大国能新能源汽车集团	面议	1个月前	https://m.liepin.com/job/1916884493.shtml	https://m.liepin.com/company/9699449/
5	5年以上 本科或以上	前悬架系统主管工程师 	广州	恒大国能新能源汽车集团	面议	1个月前	https://m.liepin.com/job/1916884455.shtml	https://m.liepin.com/company/9699449/
6	6年以上 本科或以上	电子制动系统经理/主管 	广州	恒大国能新能源汽车集团	面议	1个月前	https://m.liepin.com/job/1916884429.shtml	https://m.liepin.com/company/9699449/
7	3年以上 本科或以上	区域销售经理 	广州-天河区	北京参森科技有限公司	5-14万	1个月前	https://m.liepin.com/job/1916882733.shtml	https://m.liepin.com/company/8739397/
8	6年以上 本科或以上	电子制动系统经理/主管 	广州	恒大国能新能源汽车集团	面议	1个月前	https://m.liepin.com/job/1916865813.shtml	https://m.liepin.com/company/9699449/
9	5年以上 本科或以上	涂装规划SE工程师 	广州	恒大国能新能源汽车集团	22-43万	1个月前	https://m.liepin.com/job/1916840553.shtml	https://m.liepin.com/company/9699449/
10	经验不限 大专或以上	IT技术支持工程师 	广州	广东快乐种子科技有限公司	7-12万	1个月前	https://m.liepin.com/job/1916830925.shtml	https://m.liepin.com/company/9383814/
