	expr	job_title	location_company	name_company	salary	time	url	url_company
36	经验不限 本科或以上	海外营销（外籍实习生） 	杭州-西湖区	飞神集团	5-10万	昨天	https://m.liepin.com/job/1917926095.shtml	https://m.liepin.com/company/8117263/
37	1年以上 大专或以上	售后服务工程师 	杭州	杭州精益电子科技有限公司	8-13万	昨天	https://m.liepin.com/job/1919843311.shtml	https://m.liepin.com/company/8063990/
38	1年以上 本科或以上	C++软件工程师 	杭州	南江机器人	13-26万	昨天	https://m.liepin.com/job/198278837.shtml	https://m.liepin.com/company/8371437/
39	2年以上 大专或以上	售后工程师 	杭州	杭州精益电子科技有限公司	12-23万	昨天	https://m.liepin.com/job/1919840489.shtml	https://m.liepin.com/company/8063990/
40	1年以上 大专或以上	售后服务工程师（计算、存储、云业务） 	杭州	杭州精益电子科技有限公司	7-12万	昨天	https://m.liepin.com/job/1919839757.shtml	https://m.liepin.com/company/8063990/
41	3年以上 本科或以上	文娱-OTT会员运营专家/高级专家-杭州 	杭州	阿里巴巴	面议	昨天	https://m.liepin.com/job/1919176653.shtml	https://m.liepin.com/company/1072424/
42	3年以上 本科或以上	电子工程师（Onecup） 	杭州	九阳	面议	昨天	https://m.liepin.com/job/1916358015.shtml	https://m.liepin.com/company/1975753/
43	3年以上 本科或以上	嵌入式软件工程师 	杭州	九阳	面议	昨天	https://m.liepin.com/job/1919549827.shtml	https://m.liepin.com/company/1975753/
44	5年以上 本科或以上	项目经理（交付） 	杭州	知名VR智能室内设计平台	30-45万	昨天	https://m.liepin.com/a/14245049.shtml	
45	8年以上 本科或以上	测试开发专家 	杭州	知名VR智能室内设计平台	30-60万	昨天	https://m.liepin.com/a/14421801.shtml	
46	8年以上 本科或以上	CTO/技术总监 	杭州	盘石网盟	面议	昨天	https://m.liepin.com/job/1915439561.shtml	https://m.liepin.com/company/1015159/
47	2年以上 本科或以上	大数据开发工程师-知识图谱（YJY） 	杭州	九阳	面议	昨天	https://m.liepin.com/job/1917669363.shtml	https://m.liepin.com/company/1975753/
48	3年以上 本科或以上	专利工程师（YJY） 	杭州	九阳	面议	昨天	https://m.liepin.com/job/1917679821.shtml	https://m.liepin.com/company/1975753/
49	2年以上 本科或以上	大数据开发工程师-推荐算法（YJY） 	杭州	九阳	面议	昨天	https://m.liepin.com/job/1917668979.shtml	https://m.liepin.com/company/1975753/
50	3年以上 本科或以上	（主管）电子工程师-1（YJY） 	杭州	九阳	面议	昨天	https://m.liepin.com/job/1917670041.shtml	https://m.liepin.com/company/1975753/
51	5年以上 本科或以上	算法专家 07-01-36* 	杭州-余杭区	大搜车	30-42万	昨天	https://m.liepin.com/job/1918833715.shtml	https://m.liepin.com/company/8141158/
52	5年以上 本科或以上	大数据总监08-04-42 	杭州	大搜车	48-60万	昨天	https://m.liepin.com/job/1915884175.shtml	https://m.liepin.com/company/8141158/
53	5年以上 学历不限	大数据架构师 	北京,杭州,深圳	某大型500强集团	91-130万	昨天	https://m.liepin.com/a/13300763.shtml	
54	3年以上 硕士或以上	算法专家 （定位导航方向） 	杭州	大型智能集团	48-72万	昨天	https://m.liepin.com/a/14168451.shtml	
