	expr	job_title	location_company	name_company	salary	time	url	url_company
15	3年以上 本科或以上	产品经理（Kar）(J10261) 	北京	深圳云知声信息技术有限公司	24-36万	1个月前	https://m.liepin.com/job/1916093179.shtml	https://m.liepin.com/company/9655041/
16	3年以上 本科或以上	产品经理 	北京-海淀区	北京盈科动力国际广告有限责任公司	21-22万	1个月前	https://m.liepin.com/job/1917042267.shtml	https://m.liepin.com/company/9822555/
17	3年以上 硕士或以上	架构工程师-交通方向 	北京	国汽（北京）智能网联汽车研究院有限公司	21-42万	6分钟前	https://m.liepin.com/job/1918190933.shtml	https://m.liepin.com/company/9532936/
18	3年以上 本科或以上	产品上市管理 	北京	Baidu	面议	12分钟前	https://m.liepin.com/job/1919873609.shtml	https://m.liepin.com/company/884492/
19	6年以上 本科或以上	产品与价格负责人 	北京	Baidu	面议	12分钟前	https://m.liepin.com/job/1919873559.shtml	https://m.liepin.com/company/884492/
20	3年以上 本科或以上	算法工程师 	北京-西城区	世界TOP500强，全球上市公司前十的企业	45-90万	14分钟前	https://m.liepin.com/a/14763119.shtml	
21	3年以上 本科或以上	产品经理（云安全） 	上海,江苏,北京	某全球知名知名能源集团	60-105万	1小时前	https://m.liepin.com/a/13331421.shtml	
22	3年以上 本科或以上	产品经理（大数据） 	上海,北京,湖南	某全球知名企业	36-72万	1小时前	https://m.liepin.com/a/13342951.shtml	
23	3年以上 本科或以上	产品经理（工业互联网/物联网/车联网） 	上海,江苏,北京	某全球知名企业	45-90万	1小时前	https://m.liepin.com/a/13342857.shtml	
24	2年以上 本科或以上	产品经理 	北京	第四范式（北京）技术有限公司	28-56万	3小时前	https://m.liepin.com/job/1914204715.shtml	https://m.liepin.com/company/9208517/
25	3年以上 学历不限	销售经理（智能语音、智能客服、智能图像） 	北京-海淀区	北京捷通华声科技股份有限公司	18-36万	3小时前	https://m.liepin.com/job/1919720147.shtml	https://m.liepin.com/company/170982/
26	3年以上 本科或以上	产品经理（云平台） 	北京-海淀区	北京捷通华声科技股份有限公司	18-36万	3小时前	https://m.liepin.com/job/1919724543.shtml	https://m.liepin.com/company/170982/
27	8年以上 本科或以上	智联总监 	北京,上海	国内某知名汽车行业	60-82万	4小时前	https://m.liepin.com/a/14623635.shtml	
28	5年以上 本科或以上	解决方案架构师（零售） 	北京-海淀区	中软国际科技	36-48万	4小时前	https://m.liepin.com/job/1919895433.shtml	https://m.liepin.com/company/7927849/
29	3年以上 本科或以上	产品专家 	上海,北京,杭州	某知名互联网企业	48-96万	4小时前	https://m.liepin.com/a/14495519.shtml	
30	5年以上 本科或以上	AI软硬一体研发总监 	北京	国内知名互联网公司	80-128万	4小时前	https://m.liepin.com/a/14717205.shtml	
31	5年以上 本科或以上	【CPO — 信息】前/中/后;BC端;详情请看JD 	上海,深圳,北京	金融（传统金融、互金消金、财富）管理集团	180-234万	5小时前	https://m.liepin.com/a/14712095.shtml	
32	3年以上 本科或以上	产品经理-BI方向 	北京-海淀区	今日头条	面议	5小时前	https://m.liepin.com/job/1918786975.shtml	https://m.liepin.com/company/7863078/
33	6年以上 学历不限	产品经理 	北京	国内某知名互联网公司	48-72万	6小时前	https://m.liepin.com/a/13897973.shtml	
34	1年以上 本科或以上	iOS（高级）研发工程师 	北京-海淀区	国内知名互联网公司	37-75万	6小时前	https://m.liepin.com/a/13235869.shtml	
35	1年以上 本科或以上	Android研发工程师 	北京-海淀区	国内知名互联网公司	37-75万	6小时前	https://m.liepin.com/a/13235845.shtml	
36	5年以上 大专或以上	前端开发-内含多个岗位 	北京,上海,杭州	某一线互联网企业（BAT）	36-72万	7小时前	https://m.liepin.com/a/13257567.shtml	
37	3年以上 本科或以上	售前工程师 	北京-海淀区	武汉睿智视讯科技有限公司	12-24万	7小时前	https://m.liepin.com/job/1919101097.shtml	https://m.liepin.com/company/9272840/
38	3年以上 本科或以上	售前技术支持工程师 	北京-海淀区	武汉睿智视讯科技有限公司	10-18万	7小时前	https://m.liepin.com/job/1919444241.shtml	https://m.liepin.com/company/9272840/
39	1年以上 学历不限	资深算法工程师 	北京,上海,深圳	XX金服	90-144万	7小时前	https://m.liepin.com/a/14534447.shtml	
40	5年以上 本科或以上	AI硬件-高级产品经理（派遣） 	北京-海淀区	搜狗	26-39万	7小时前	https://m.liepin.com/job/1919292791.shtml	https://m.liepin.com/company/7929219/
41	3年以上 本科或以上	硬件产品经理 	北京-朝阳区	北京自如生活资产管理有限公司	15-30万	7小时前	https://m.liepin.com/job/1918475873.shtml	https://m.liepin.com/company/8916470/
42	5年以上 本科或以上	硬件产品经理/总监 	北京-朝阳区	北京自如生活资产管理有限公司	32-64万	7小时前	https://m.liepin.com/job/1917473771.shtml	https://m.liepin.com/company/8916470/
