	expr	job_title	location_company	name_company	salary	time	url	url_company
23	3年以上 大专或以上	ZigBee网关硬件开发工程师 	广州,深圳	知名家居公司	18-30万	昨天	https://m.liepin.com/a/14265315.shtml	
24	3年以上 本科或以上	产品专员 	广州,深圳	知名家居公司	12-18万	昨天	https://m.liepin.com/a/14265153.shtml	
25	3年以上 本科或以上	品类经理/商品企划经理 	广州	广州某知名服装电商跨境公司	24-30万	昨天	https://m.liepin.com/a/14759505.shtml	
26	5年以上 本科或以上	信贷咨询顾问 	广州	北京宇信科技集团股份有限公司	18-36万	昨天	https://m.liepin.com/job/1916092127.shtml	https://m.liepin.com/company/8625850/
27	5年以上 本科或以上	产品经理 	广州	鲁邦通	20-26万	昨天	https://m.liepin.com/job/1915629597.shtml	https://m.liepin.com/company/8703682/
28	3年以上 大专或以上	平台产品经理 	广州	广东新励成教育科技股份有限公司	10-18万	昨天	https://m.liepin.com/job/1916646885.shtml	https://m.liepin.com/company/8830207/
29	3年以上 大专或以上	互联网产品经理 	广州	广东新励成教育科技股份有限公司	10-18万	昨天	https://m.liepin.com/job/1916646849.shtml	https://m.liepin.com/company/8830207/
30	3年以上 大专或以上	珠宝产品经理 	广州-天河区	金仕网络	10-12万	昨天	https://m.liepin.com/job/1914419506.shtml	https://m.liepin.com/company/8932679/
31	2年以上 学历不限	网易考拉、唯品会运营店长 	广州	国内某热门护肤品公司	16-16万	昨天	https://m.liepin.com/a/14477283.shtml	
32	5年以上 本科或以上	产品经理 	广州,北京,深圳	广州某知名车后市场电商	22-36万	昨天	https://m.liepin.com/a/14459957.shtml	
33	3年以上 本科或以上	产品经理 	广州-海珠区	搜芽	18-24万	昨天	https://m.liepin.com/a/13260443.shtml	
34	2年以上 本科或以上	产品专员 	广州-越秀区	广州广电运通信息科技有限公司	12-14万	昨天	https://m.liepin.com/job/1919629839.shtml	https://m.liepin.com/company/7983238/
35	2年以上 本科或以上	产品经理（互联网方向） 	广州-黄埔区	广州某生物科技公司	24-36万	昨天	https://m.liepin.com/a/14774901.shtml	
36	5年以上 本科或以上	用户增长专家 	广州	广州市驴迹科技有限责任公司	48-84万	昨天	https://m.liepin.com/job/1916475761.shtml	https://m.liepin.com/company/9385954/
37	3年以上 本科或以上	品牌主管/经理 	广州	诗悦	12-22万	昨天	https://m.liepin.com/job/1912404117.shtml	https://m.liepin.com/company/8383148/
38	8年以上 本科或以上	IT 财务产品总监 	广州	国内知名化工企业	52-65万	昨天	https://m.liepin.com/a/14512515.shtml	
39	3年以上 本科或以上	高级数据分析师 	广州,北京,上海	国内外知名电商企业	60-84万	昨天	https://m.liepin.com/a/14696799.shtml	
40	3年以上 本科或以上	产品开发经理 	广东,深圳,广州	某大型电子控股企业	19-26万	昨天	https://m.liepin.com/a/14697631.shtml	
41	2年以上 大专或以上	产品工程师Product Engineer 	广州,深圳,珠海	知名医疗产品制造企业	19-26万	昨天	https://m.liepin.com/a/14763217.shtml	
42	3年以上 本科或以上	产品开发主管 	广州-天河区	拉芳家化股份有限公司	10-14万	昨天	https://m.liepin.com/job/1914520042.shtml	https://m.liepin.com/company/7987863/
43	3年以上 本科或以上	海外增长运营 	广州	某知名互联网公司	28-56万	昨天	https://m.liepin.com/a/14770683.shtml	
44	5年以上 本科或以上	数据分析经理 	广州	触宝科技	35-56万	昨天	https://m.liepin.com/job/1919532801.shtml	https://m.liepin.com/company/1480650/
45	2年以上 本科或以上	高级需求分析师 	广州,深圳	某外资银行	18-30万	昨天	https://m.liepin.com/a/14009895.shtml	
46	3年以上 学历不限	发行运营主管 	广州	诗悦	18-31万	昨天	https://m.liepin.com/job/1916522079.shtml	https://m.liepin.com/company/8383148/
47	5年以上 本科或以上	产品总监 	广州-海珠区	某社交电商公司	49-70万	昨天	https://m.liepin.com/a/14349077.shtml	
48	8年以上 本科或以上	高级产品经理 	广州-天河区	广州某通信技术服务公司	21-35万	昨天	https://m.liepin.com/a/14699989.shtml	
49	2年以上 本科或以上	数据可视化/人机交互研究员 	广州	广东和石投资管理有限公司	18-30万	昨天	https://m.liepin.com/job/1912693773.shtml	https://m.liepin.com/company/9275730/
50	3年以上 本科或以上	产品经理（微信小程序） 	广州-海珠区	某知名电商服务供应商	18-24万	昨天	https://m.liepin.com/a/14593373.shtml	
51	3年以上 学历不限	产品经理/主管 	北京,上海,广州	卡尔史托斯	32-39万	昨天	https://m.liepin.com/a/14727913.shtml	
52	3年以上 本科或以上	安全产品经理 	广州,深圳	国内知名上市互联网公司	22-45万	昨天	https://m.liepin.com/a/14763241.shtml	
53	3年以上 大专或以上	产品开发经理（卫浴/工具类） 	广州	棒谷网络	14-22万	昨天	https://m.liepin.com/job/1915323921.shtml	https://m.liepin.com/company/1282666/
54	2年以上 大专或以上	互联网产品经理 	广州-天河区	广东博浩展览发展有限公司	7-10万	昨天	https://m.liepin.com/job/1919298109.shtml	https://m.liepin.com/company/8366587/
55	2年以上 大专或以上	互联网产品运营 	广州-天河区	广东博浩展览发展有限公司	7-10万	昨天	https://m.liepin.com/job/1919298111.shtml	https://m.liepin.com/company/8366587/
56	1年以上 大专或以上	互联网产品经理 	广州	广东博浩展览发展有限公司	7-10万	昨天	https://m.liepin.com/job/1919298113.shtml	https://m.liepin.com/company/8366587/
57	5年以上 本科或以上	大数据高级工程师 	深圳,广州	知名社交互联网公司	32-65万	昨天	https://m.liepin.com/a/12510783.shtml	
58	10年以上 本科或以上	智能服务副总监/资深专家 	广州	新能源汽车	78-117万	昨天	https://m.liepin.com/a/13732537.shtml	
59	5年以上 本科或以上	电商产品策划经理 	广州	轻奢零售公司	39-49万	昨天	https://m.liepin.com/a/13639227.shtml	
0	2年以上 本科或以上	高级数据分析师-专项岗 	广州-番禺区	广州市百果园信息技术有限公司	24-48万	昨天	https://m.liepin.com/job/1919270035.shtml	https://m.liepin.com/company/8936051/
1	6年以上 本科或以上	数据中台经理 	广州,杭州,深圳	某上市互联网直播平台	75-120万	昨天	https://m.liepin.com/a/14080047.shtml	
2	5年以上 本科或以上	大数据开发工程师 	深圳,广州	国内知名互联网+物流公司	35-70万	昨天	https://m.liepin.com/a/14411581.shtml	
3	6年以上 本科或以上	数据仓库架构师 	广州,深圳,杭州	国内知名互联网+物流公司	52-97万	昨天	https://m.liepin.com/a/14409005.shtml	
4	5年以上 大专或以上	电商运营总监 	广州	广州某电子商务公司	24-30万	昨天	https://m.liepin.com/a/14768501.shtml	
5	7年以上 大专或以上	产品经理 	广州-天河区	室内宝（广州）有限公司	12-18万	昨天	https://m.liepin.com/job/1918150851.shtml	https://m.liepin.com/company/9744563/
6	5年以上 本科或以上	产品经理 	广州-天河区	某广州知名系统集成企业	19-36万	昨天	https://m.liepin.com/a/14719909.shtml	
7	3年以上 学历不限	高级数据分析师（北京） 	广州,北京	华南某独角兽公司	72-96万	昨天	https://m.liepin.com/a/14737323.shtml	
8	5年以上 本科或以上	UED总监（北京） 	北京,广州	华南某独角兽公司	72-96万	昨天	https://m.liepin.com/a/14737623.shtml	
9	2年以上 学历不限	产品总监 	北京,上海,广州	国内前十企业集团	36-72万	昨天	https://m.liepin.com/a/13941289.shtml	
10	2年以上 学历不限	产品总监 	北京,上海,广州	国内前十企业集团	72-108万	昨天	https://m.liepin.com/a/13941539.shtml	
11	8年以上 硕士或以上	AI技术总监 	上海,北京,广州	国内知名大健康企业	45-90万	昨天	https://m.liepin.com/a/14000367.shtml	
12	5年以上 大专或以上	产品总监（化妆品专业线） 	广州-白云区	广州某大型互联网公司	30-60万	昨天	https://m.liepin.com/a/14756619.shtml	
